lon,lat,ibge
-3.680073,-40.34879,-1.0
-3.680132,-40.348887,-1.0
-3.733401,-41.002461,-1.0
-3.733347,-41.002058,-1.0
-3.73355,-41.00235,-1.0
-3.73729,-38.646131,-1.0
-3.735389,-38.656397,-1.0
-3.7359,-38.744475,-1.0
-3.737019,-38.645548,-1.0
-3.737318,-38.645431,-1.0
-3.736949,-38.645891,-1.0
-3.737628,-38.645834,-1.0
-4.574941,-37.791345,-1.0
-4.574933,-37.765251,-1.0
-4.573442,-37.737849,-1.0
-5.741011,-38.980101,-1.0
-2.884572,-40.119596,-1.0
-2.907451,-40.118642,-1.0
-3.805486,-38.449458,-1.0
-3.805732,-38.449392,-1.0
-3.85041,-38.646473,-1.0
-5.191542,-39.301433,-1.0
-5.522904,-39.495392,-1.0
-5.044968,-37.778739,-1.0
-3.926631,-38.608547,-1.0
-3.756632,-38.491199,-1.0
-3.756772,-38.491302,-1.0
-3.756374,-38.491331,-1.0
-3.756383,-38.49152,-1.0
-3.756772,-38.491528,-1.0
-3.7568,-38.49138,-1.0
-3.756369,-38.491487,-1.0
-3.766934,-38.483941,-1.0
-3.766124,-38.478122,-1.0
-3.76221,-38.483046,-1.0
-3.762965,-38.482692,-1.0
-3.762712,-38.478857,-1.0
-3.767455,-38.482272,-1.0
-4.224608,-38.727862,-1.0
-4.26427,-38.723353,-1.0
-3.664357,-38.682914,-1.0
-3.624727,-38.748107,-1.0
-3.606036,-38.780618,-1.0
-3.648413,-38.76139,-1.0
-4.22436,-38.727847,-1.0
-4.22444,-38.727792,-1.0
-6.875509,-39.873341,-1.0
-6.871748,-39.877338,-1.0
-3.551162,-40.653111,-1.0
-3.925855,-38.50794,-1.0
-3.891165,-38.435806,-1.0
-4.038995,-39.451949,-1.0
-4.039448,-39.451661,-1.0
-4.03963,-39.451935,-1.0
-4.039363,-39.452262,-1.0
-7.309913,-39.307123,-1.0
-3.570639,-39.970271,-1.0
-3.566539,-39.970473,-1.0
-5.159902,-38.108947,-1.0
-5.160344,-38.108798,-1.0
-5.160393,-38.108976,-1.0
-5.084746,-37.996561,-1.0
-7.309231,-39.306955,-1.0
-7.30924,-39.307357,-1.0
-5.221629,-37.885449,-1.0
-6.76928,-39.089684,-1.0
-7.0411,-39.28217,-1.0
-3.776231,-38.549655,-1.0
-3.808297,-38.490255,-1.0
-3.905645,-38.345462,-1.0
-3.898377,-38.369511,-1.0
-3.902557,-38.386086,-1.0
-3.906256,-38.387626,-1.0
-3.943164,-38.295544,-1.0
-3.861378,-38.389636,-1.0
-3.854618,-38.383802,-1.0
-3.812248,-38.410283,-1.0
-4.182717,-38.131808,-1.0
-4.178879,-38.129326,-1.0
-4.153032,-38.112199,-1.0
-4.254309,-38.049909,-1.0
-4.223446,-38.042869,-1.0
-3.898065,-38.402614,-1.0
-3.90195,-38.393113,-1.0
-3.683309,-38.657322,-1.0
-4.182314,-38.138875,-1.0
-6.524632,-40.788611,-1.0
-6.098825,-40.414417,-1.0
-6.007428,-40.286611,-1.0
-5.439623,-40.003628,-1.0
-6.087687,-39.455185,-1.0
-6.095301,-39.451433,-1.0
-6.309576,-39.333879,-1.0
-6.326696,-39.321732,-1.0
-6.348679,-39.306562,-1.0
-6.373529,-39.306389,-1.0
-6.373523,-39.306247,-1.0
-6.363356,-39.306476,-1.0
-4.054822,-38.184339,-1.0
-4.042929,-38.204081,-1.0
-4.129567,-38.236904,-1.0
-6.540993,-39.906092,-1.0
-6.580746,-39.861631,-1.0
-6.567833,-39.814554,-1.0
-5.772012,-40.679856,-1.0
-5.209717,-40.695486,-1.0
-5.533538,-40.773238,-1.0
-4.904275,-40.76462,-1.0
-4.753218,-40.832487,-1.0
-5.525964,-39.595908,-1.0
-5.455584,-39.715432,-1.0
-5.45535,-39.717981,-1.0
-5.396128,-40.312288,-1.0
-5.052404,-40.923791,-1.0
-6.289854,-40.583645,-1.0
-6.373365,-39.303877,-1.0
-6.52315,-39.527479,-1.0
-6.469371,-39.441771,-1.0
-6.523278,-39.527447,-1.0
-5.741737,-39.624889,-1.0
-5.745011,-39.629495,-1.0
-5.913627,-39.266788,-1.0
-6.770881,-39.983422,-1.0
-6.53449,-39.500669,-1.0
-4.026035,-38.306495,-1.0
-5.241612,-40.940671,-1.0
-5.798091,-39.14992,-1.0
-6.311848,-39.436419,-1.0
-5.212441,-40.703765,-1.0
-4.22991,-39.198523,-1.0
-4.16216,-39.149426,-1.0
-4.096154,-39.056601,-1.0
-2.973468,-39.889753,-1.0
-3.179749,-39.746265,-1.0
-2.972403,-39.890732,-1.0
-2.955499,-39.906647,-1.0
-2.911365,-40.174299,-1.0
-2.892749,-40.218541,-1.0
-2.894293,-40.272898,-1.0
-2.919787,-40.386688,-1.0
-2.906935,-40.441435,-1.0
-2.9903,-40.574067,-1.0
-3.132258,-40.816278,-1.0
-3.132848,-40.816973,-1.0
-3.132213,-40.81736,-1.0
-3.12952,-40.834441,-1.0
-3.129441,-40.83459,-1.0
-3.120535,-40.835098,-1.0
-2.929835,-40.856271,-1.0
-2.928924,-40.855734,-1.0
-2.928241,-40.855462,-1.0
-2.9281,-40.855831,-1.0
-2.928845,-40.856573,-1.0
-3.019469,-41.137236,-1.0
-3.019455,-41.138004,-1.0
-3.039529,-41.240858,-1.0
-3.078507,-41.25456,-1.0
-4.060332,-38.504167,-1.0
-4.096929,-38.495418,-1.0
-3.878459,-40.020718,-1.0
-3.878633,-40.02058,-1.0
-2.952536,-39.799544,-1.0
-2.973023,-39.890493,-1.0
-3.270966,-39.914204,-1.0
-3.124442,-40.084212,-1.0
-3.223707,-40.088191,-1.0
-3.226713,-40.122594,-1.0
-3.46138,-40.208899,-1.0
-3.614565,-40.263266,-1.0
-2.824072,-40.224038,-1.0
-2.921994,-40.175412,-1.0
-3.053733,-40.170044,-1.0
-3.122295,-40.150585,-1.0
-3.125376,-40.151248,-1.0
-3.235089,-40.158335,-1.0
-3.508394,-40.278465,-1.0
-3.580057,-40.294422,-1.0
-3.68221,-40.349076,-1.0
-3.798378,-40.262611,-1.0
-3.71264,-40.342254,-1.0
-3.712183,-40.342795,-1.0
-3.711879,-40.343265,-1.0
-3.711755,-40.343938,-1.0
-3.695631,-40.380877,-1.0
-3.875123,-38.626153,-1.0
-4.353538,-39.323499,-1.0
-3.364602,-39.841002,-1.0
-3.132998,-40.816675,-1.0
-3.133162,-40.816213,-1.0
-3.22408,-40.696312,-1.0
-3.225196,-40.694606,-1.0
-3.913534,-40.382637,-1.0
-3.949259,-40.47469,-1.0
-7.224096,-39.423971,-1.0
-7.217324,-39.422488,-1.0
-7.218548,-39.431584,-1.0
-7.093192,-39.678974,-1.0
-7.396017,-38.961657,-1.0
-7.31655,-38.995688,-1.0
-7.296389,-39.034747,-1.0
-7.252707,-39.145954,-1.0
-7.252612,-39.146326,-1.0
-3.130382,-40.835263,-1.0
-3.214822,-40.864647,-1.0
-3.215864,-40.865546,-1.0
-3.532275,-41.095807,-1.0
-4.052969,-40.958958,-1.0
-4.109209,-40.871596,-1.0
-3.37848,-40.712867,-1.0
-3.216608,-40.864962,-1.0
-3.366602,-40.735619,-1.0
-3.468272,-40.6741,-1.0
-3.472341,-40.670753,-1.0
-7.003789,-39.740048,-1.0
-7.315383,-38.938274,-1.0
-7.314431,-38.944198,-1.0
-7.357581,-39.046761,-1.0
-3.501936,-40.615382,-1.0
-7.23545,-39.410031,-1.0
-7.239406,-39.418094,-1.0
