ncm, scnp
23025000,10935
23031000,10935
23032000,10921
23033000,11001
23040010,10932
23040090,10932
23050000,10932
23061000,10932
23062000,10932
23063010,10932
23063090,10932
23064100,10932
23064900,10932
23065000,10932
23066000,10932
23069010,10935
23069090,10932
23070000,11001
23080000,10931
23091000,10936
23099010,10936
23099020,10936
23099030,10936
23099040,10936
23099050,10936
23099060,10936
23099090,10936
24011010,01916
24011020,01916
24011030,01916
24011040,01916
24011090,01916
24012010,12001
24012020,12001
24012030,12001
24012040,12001
24012090,12001
24013000,12001
24021000,12001
24022000,12001
24029000,12001
24031000,12001
24031100,12001
24031900,12001
24039100,12001
24039910,12001
24039990,12001
25010011,05802
25010019,05802
25010020,10937
25010090,05802
25020000,05802
25030010,05802
25030090,05802
25041000,05802
25049000,05802
25051000,05802
25059000,05802
25061000,05802
25062000,05802
25070010,23003
25070090,05802
25081000,05802
25083000,05802
25084010,05802
25084090,05802
25085000,05802
25086000,05802
25087000,05802
25090000,05802
25101010,23003
25101090,23003
25102010,23003
25102090,23003
25111000,23003
25112000,23003
25120000,05802
25131000,05802
25132000,05802
25140000,05802
25151100,05802
25151210,05802
25151220,05802
25152000,05802
25161100,05802
25161200,05802
25162000,05802
25169000,05802
25171000,05802
25172000,05802
25173000,23003
25174100,05802
25174900,05802
25181000,05802
25182000,23003
25183000,23003
25191000,05802
25199010,05802
25199090,05802
25201011,05802
25201019,05802
25201020,05802
25202010,23003
25202090,23003
25210000,05802
25221000,23003
25222000,23003
25223000,23003
25231000,23001
25232100,23001
25232910,23001
25232990,23001
25233000,23001
25239000,23001
25241000,05802
25249000,05802
25251000,05802
25252000,05802
25253000,05802
25261000,05802
25262000,05802
25280000,05802
25281000,05802
25289000,05802
25291000,05802
25292100,05802
25292200,05802
25293000,05802
25301010,05802
25301090,05802
25302000,05802
25309010,05802
25309020,05802
25309030,05802
25309040,05802
25309090,05802
26011100,07911
26011200,07911
26011210,07911
26011290,07911
26012000,20911
26020010,07921
26020090,07921
26030010,07921
26030090,07921
26040000,07921
26050000,07921
26060011,07921
26060012,07921
26060090,07921
26070000,07921
26080010,07921
26080090,07921
26090000,07921
26100010,07921
26100090,07921
26110000,07921
26121000,07921
26122000,07921
26131010,07921
26131090,07921
26139010,07921
26139090,07921
26140010,07921
26140090,07921
26151010,07921
26151020,07921
26151090,07921
26159000,07921
26161000,07921
26169000,07921
26171000,07921
26179000,07921
26180000,24912
26190000,24912
26201100,24921
26201900,24921
26202100,19916
26202900,24921
26203000,24921
26204000,24921
26206000,24921
26209100,24921
26209910,24921
26209990,24921
26211000,05802
26219010,05802
26219090,05802
27011100,05801
27011200,05801
27011900,05801
27012000,19916
27021000,05801
27022000,19916
27030000,05802
27040010,19916
27040090,19916
27050000,19916
27060000,19916
27071000,20913
27072000,20913
27073000,20913
27074000,20913
27075000,20913
27079100,20913
27079910,20913
27079990,20913
27081000,20913
27082000,20913
27090010,06801
27090090,06801
27101110,19916
27101121,19916
27101129,19916
27101130,19916
27101141,19913
27101149,19916
27101151,19911
27101159,19916
27101160,19916
27101190,19916
27101210,19916
27101221,19916
27101229,19916
27101230,19916
27101241,19913
27101249,19916
27101251,19911
27101259,19916
27101260,19916
27101290,19916
27101911,19911
27101919,19916
27101921,19916
27101922,19914
27101929,19914
27101931,19916
27101932,19916
27101991,19916
27101992,19916
27101993,19916
