lon,lat,ibge,v
-4.286703,-38.934023,-1,53223
-4.331452,-38.878783,-1,53862
-4.305282,-38.995798,-1,54391
-4.30634,-38.996983,-1,54405
-4.306282,-38.997533,-1,54407
-4.416304,-39.04628,-1,55303
-3.586842,-40.54547,-1,55314
-3.59993,-40.447521,-1,56763
-3.568181,-40.636589,-1,55995
-3.519678,-40.360689,-1,55996
-3.54127,-40.454408,-1,56762
-3.683465,-40.35259,-1,57595
-3.687442,-40.354688,-1,57619
-3.90757,-40.744357,-1,57682
-3.908918,-40.746602,-1,57697
-3.920982,-40.889062,-1,58575
-3.81204,-38.500574,-1,58813
-3.811407,-38.500517,-1,58814
-3.811641,-38.500331,-1,58821
-3.811382,-38.500737,-1,58822
-3.812008,-38.500829,-1,58828
-3.81195,-38.50042,-1,58850
-3.485844,-39.613486,-1,59004
-3.500398,-39.58023,-1,59602
-6.792811,-39.306783,-1,59773
-3.694243,-40.378922,-1,59853
-3.694435,-40.379318,-1,59855
-3.695395,-40.381106,-1,59870
-3.716868,-40.334459,-1,59871
-3.716927,-40.334524,-1,59874
-3.716483,-40.33461,-1,59875
-3.716591,-40.334855,-1,59887
-3.716495,-40.334737,-1,59891
-3.679687,-40.348863,-1,59913
-3.680073,-40.34879,-1,59914
-3.680132,-40.348887,-1,59917
-3.733401,-41.002461,-1,60265
-3.733347,-41.002058,-1,60284
-3.73355,-41.00235,-1,60297
-3.73729,-38.646131,-1,60303
-3.735389,-38.656397,-1,60331
-3.7359,-38.744475,-1,60420
-3.737019,-38.645548,-1,60421
-3.737318,-38.645431,-1,60428
-3.736949,-38.645891,-1,60429
-3.737628,-38.645834,-1,60446
-4.574941,-37.791345,-1,61482
-4.574933,-37.765251,-1,61718
-4.573442,-37.737849,-1,61940
-5.741011,-38.980101,-1,61941
-2.884572,-40.119596,-1,62134
-2.907451,-40.118642,-1,62312
-3.805486,-38.449458,-1,62318
-3.805732,-38.449392,-1,62319
-3.85041,-38.646473,-1,63479
-5.191542,-39.301433,-1,20717
-5.522904,-39.495392,-1,66902
-5.044968,-37.778739,-1,68676
-3.926631,-38.608547,-1,68677
-3.756632,-38.491199,-1,68753
-3.756772,-38.491302,-1,68820
-3.756374,-38.491331,-1,68768
-3.756383,-38.49152,-1,68788
-3.756772,-38.491528,-1,68802
-3.7568,-38.49138,-1,68815
-3.756369,-38.491487,-1,68835
-3.766934,-38.483941,-1,68866
-3.766124,-38.478122,-1,68887
-3.76221,-38.483046,-1,68935
-3.762965,-38.482692,-1,68946
-3.762712,-38.478857,-1,68961
-3.767455,-38.482272,-1,243006
-4.224608,-38.727862,-1,69200
-4.26427,-38.723353,-1,345561
-3.664357,-38.682914,-1,69201
